id,slug,bcp47
184512,tehl,mtl
184513,ellomwe,lon
184515,chinese-hokkien-amoy,nan
184517,hawaiian-nihau,haw
184519,san-andres-islander-creole,icr
184521,saho-eritrea,ssy
184528,odiya,ory
184529,qashqai,qxq
184531,arabic-bedouin,avl
184537,od-rajput,odk
184541,dibali,bcp
184546,tangsa-kimsing,nst
184547,idioma-wanca,qvw
184548,gutob-gadaba,gbj
184549,idaasha,idd
184550,aikana,tba
184557,poumai-naga,pmx
184566,indonesian-isa,id
184571,palamua,kwx
184573,kuvale,olu
184583,amam,bcu
184584,nkim-nkum,isi
184585,kakataibo,cbr
184586,kandoozi,cbu
184588,pomeranian-brazilian,nds
184591,arabic-najdi,ars
184592,arabic-hijazi,acw
184596,godie,god
184626,lik,eip
184627,arabic-taizzi-yemeni,ar-acq
184629,nyamboa,nwb
184630,nghlawa,kga
184631,abanglekuo,bzy
184632,obe-nrung-ene,afe
184646,malinke-kenieba,mlq
184647,malinke-kita,mwk
184659,north-gumuz,guk
184660,south-gumuz,guk
184662,tzeltal-tenejapa,tzh
184668,agusan-surigao-manobo,msm
184691,tidung-southern,itd
184701,jamaican-patwa,jam
184801,gavva,gdf
184810,thradhri-kohli,kxp
184811,oadki,odk
184814,dagbanli,dag
184815,maram-naga,nma
184818,kaakye,kye
184819,penang-hokkien,nan
184820,pashto-eastern-afghan,pbu
184827,tsimanex,cas
184828,guarani-western-bolivian,gnw
18483,erzya,myv
184831,mephaa-de-huitzapula,tcf
184832,mixteco-potoichan,mim
184833,mixteco-cuquila-ocotepec,mie
184842,ibaas-icen,cen
184843,fali-south,fkk
184844,fali-north,fli
184845,bugkalot,ilk
184846,ache-2,guq
184847,bakwe,bjw
184848,arabic-libyan,ar-ayl
184849,satere-mawe,mav
184853,mephaa-de-acatapec,tpx
184854,burmese-standard,mya
184855,burmese-common,mya
18487,moksha,mdf
18489,mari-low,mhr
184901,kimpokomu,pkb
