language,audioLanguageSlug,displayLocale,eligibleCuratedVideos,catalogVideoIdsUpperBound,reason,coreLanguageId,publishedVariantRows,publishedDistinctVideoIds,collectionOrSeriesVideoIds,publishedLeafVideoIds,leafVideosWithHls,leafVideosWithMux,leafVideosWithHlsOrMux,nonLeafVideosWithHlsOrMux,nonLeafWithoutStream,coreStreamCountAtLeast6,observedAt,pages,evidenceSha256
Japanese Sign Language,japanese-sign-language,en,1,1,Insufficient eligible catalog inventory,7090,8,8,7,1,1,1,1,0,7,False,2026-09-10T03:34:39.195447+00:00,1,6d80df781f1434d33deda27a65ee58b467fef1254feb26128931b0c30a481f3b
Jola-Fogny,jola-fogny,dyo,0,0,Missing published card translation,5069,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:27.317291+00:00,1,50803912e9f336c1968ea0fd56bdaea03dba08cb86379867f2dcbc2d519103ae
Jordanian Sign Language,jordanian-sign-language,en,1,1,Insufficient eligible catalog inventory,7138,8,8,7,1,1,1,1,0,7,False,2026-09-10T03:34:39.447295+00:00,1,b64daa11277c38837787574c819077b9885759dc86332fba29e0d3cad851836d
Kabardian,kabardian,kbd,0,0,Missing published card translation,14632,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:28.090023+00:00,1,cdb2dfe0f43c64e3b6ac1cc4bbad426fe2bba240e1703b3dfb4ad234affc4ea6
Kachhi Gujerati,kachhi-gujerati,en,28,54,Six cards available; reserve below 30,177210,67,67,13,54,54,54,54,0,13,True,2026-09-10T03:34:56.919046+00:00,1,58fe971769514538356b382cff9e9a67972fe9a66205956de6c073980a283b08
Kalaallisut (Greenlandic),kalaallisut-greenlandic,kl,0,0,Missing published card translation,21199,105,105,21,84,84,84,84,2,19,True,2026-09-10T03:33:28.611571+00:00,1,4782ea5fb85efbb99acc0623c914b95dd4be9d75f529d47b571f62a64db5d8a0
Kannada,kannada,kn,0,0,Missing published card translation,6318,287,287,35,252,252,252,252,0,35,True,2026-09-10T03:33:29.924417+00:00,1,054b94f723b8293b56f3c7b8efe530d9c747a7a4f5b938e3ed889dc8c3d9faca
Karanga,karanga,sn,0,0,Missing published card translation,20211,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:29.715162+00:00,1,97669c0dfd4c592744854a84028160c784ce009310a9c175c7ea16b27e7871fe
Kashmiri,kashmiri,ks,0,0,Missing published card translation,6298,148,148,18,130,130,130,130,0,18,True,2026-09-10T03:33:30.281807+00:00,1,75ce6974c20ede40144c70b63dd530c47755802c5901933363f6d02db645a7b8
Kashubian,kashubian,csb,0,0,Missing published card translation,12869,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:30.806003+00:00,1,b19743fbdda53e04494fc093b4b3e912a8af851e69b10a4e06e927933b8bc683
Kathiyawadi,kathiyawadi,gu,0,0,Missing published card translation,6596,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:31.000076+00:00,1,eba2aeccf59efbd6efb22d953ff52d1e8494fe4205beb9e5e299aa192be6281a
Khasi,khasi,kha,0,0,Missing published card translation,1197,92,92,16,76,76,76,76,0,16,True,2026-09-10T03:33:31.612085+00:00,1,1e622ef9f15bdd773d5d1c84a59815855b5c12e3474152781714cab8b698a67f
"Khmer, Central-M",khmer-central-m,km,0,0,Missing published card translation,24024,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:32.463625+00:00,1,f7bf25ebb0d7e5d61f09945eb455ddcb2da63c273f992a7581cfe456f90e0acf
"Khmer, Northern",khmer-northern,km,0,0,Missing published card translation,14384,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:32.007387+00:00,1,3f21afb59052fb66f13764dd07183a24c2eb16058edab38cc53b2e9e5af645af
"Khmer, Standard",khmer-standard,km,0,0,Missing published card translation,178043,232,232,36,196,196,196,196,2,34,True,2026-09-10T03:33:32.697520+00:00,1,ca53de03a7750c327bd7010a71e15c03948f3e859cb5348c4c4999021b5a63a9
"Kiche, Cunen",kiche-cunen,quc,0,0,Missing published card translation,139116,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:33.304815+00:00,1,d908d18743aa928d3bdc173f67874a702d128c6b6bba8e818366de30f252fdee
Kinyarwanda,kinyarwanda,rw,0,0,Missing published card translation,20900,181,181,24,157,157,157,157,2,22,True,2026-09-10T03:33:34.011574+00:00,1,d613a71017d1a598fd8519158c386f09477c8d5337f21e27d4b8407647ea699b
Kiribati,kiribati,gil,0,0,Missing published card translation,4812,105,105,21,84,84,84,84,2,19,True,2026-09-10T03:33:34.074026+00:00,1,84047106ca740d9af7b6aef721b6f636496368f23c6e53baf7fa183c0571a792
Kirundi,kirundi,rn,0,0,Missing published card translation,20896,175,175,23,152,152,152,152,2,21,True,2026-09-10T03:33:34.312405+00:00,1,92111be67a2ec360afc2cde0458e34dede2c757760966b7d982f3a0deec8ba0f
